label,square_id,model,MAE,MAPE,RMSE
highest,5161,"ARIMA(2,1,2)",88.1987650377287,8.531867765743886,130.61137010233708
square_4159,4159,"ARIMA(2,1,2)",15.069721225068268,6.56637685009058,20.58808270387375
square_4556,4556,"ARIMA(2,1,2)",26.83235426389761,6.066080224722127,36.20994581868237
