label,square_id,model,MAE,MAPE,RMSE
highest,5161,GRU,85.91238755438454,9.276561531100459,127.31919400972284
square_4159,4159,GRU,15.095179789293761,6.840836937919552,20.187447914050907
square_4556,4556,GRU,26.548396430341615,6.107630677495933,35.60851629181483
