square_id,train_sec,forecast_sec,hardware,python
5161,12.573078200000964,287.3598259999999,Windows-11-10.0.26100-SP0,3.14.0
4159,4.942386099999567,395.19409879999876,Windows-11-10.0.26100-SP0,3.14.0
4556,13.48001590000058,582.6727759000005,Windows-11-10.0.26100-SP0,3.14.0
